,personUri,personLabel,birthYear,gender,countries,continents,occupations,fields
381,http://www.wikidata.org/entity/Q66704,Gotthilf Heinrich von Schubert,1780,male,Kingdom of Saxony,Europe,"botanist, naturalist, philosopher, physician, university teacher, writer","histology, medicine, natural science, philosophy"
386,http://www.wikidata.org/entity/Q62053,Karoline von Günderrode,1780,female,Germany,Europe,"philosopher, playwright, poet, writer",poetry
387,http://www.wikidata.org/entity/Q336010,Charles Nodier,1780,male,France,Europe,"entomologist, essayist, journalist, lexicographer, librarian, literary critic, novelist, philologist, poet, translator, writer","creative and professional writing, entomology, philology, poetry, speculative fiction, translating activity"
389,http://www.wikidata.org/entity/Q104279,Carl Friedrich Göschel,1781,male,Germany,Europe,"jurist, philosopher, theologian","ecclesiastical law, law, philosophy, theology"
393,http://www.wikidata.org/entity/Q1446905,Franz von Lassaulx,1781,male,Germany,Europe,"bookseller, jurist, printer, publisher, translator, university teacher, writer","bookstore, law, literature, pressing, publisher, publishing company, translation"
394,http://www.wikidata.org/entity/Q213585,Karl Christian Friedrich Krause,1781,male,Saxe-Altenburg,Europe,"philosopher, university teacher, writer",philosophy
395,http://www.wikidata.org/entity/Q184735,Bernard Bolzano,1781,male,Kingdom of Bohemia,Europe,"Catholic priest, aesthetician, historian, mathematician, philosopher, philosopher of science, priest, professor, teacher, theologian","Christian Church, aesthetics, epistemology, logic, mathematical analysis, mathematics, philosophy, philosophy of science, theology"
396,http://www.wikidata.org/entity/Q1462417,Friedrich Strack,1781,male,Germany,Europe,"classical philologist, pedagogue, translator, writer","literature, pedagogy, translation"
397,http://www.wikidata.org/entity/Q15572,Johann Baptist von Spix,1781,male,Kingdom of Bavaria,Europe,"biologist, botanist, entomologist, explorer, illustrator, naturalist, philosopher, zoologist","botany, zoology"
398,http://www.wikidata.org/entity/Q168468,David Brewster,1781,male,United Kingdom,Europe,"astronomer, biographer, botanist, civil engineer, inventor, mathematician, philosopher, physicist, university teacher, writer","astronomy, botany, mathematics, physics"
399,http://www.wikidata.org/entity/Q368697,Jovan Došenović,1781,male,Serbia,Europe,"literary critic, philosopher, poet, translator, writer","literary theory, philosophy, poetry, translating activity"
400,http://www.wikidata.org/entity/Q71561,Charlotte von Ahlefeld,1781,female,Duchy of Saxe-Meiningen,Eurasia,"poet, writer","literature, poetry"
406,http://www.wikidata.org/entity/Q334973,Félicité de La Mennais,1782,male,France,Europe,"Catholic priest, philosopher, politician, theologian, translator, writer",philosophy
409,http://www.wikidata.org/entity/Q2090901,Aizawa Seishisai,1782,male,Japan,Asia,"philosopher, political scientist",philosophy
416,http://www.wikidata.org/entity/Q380937,Erik Gustaf Geijer,1783,male,Sweden,Europe,"composer, draftsperson, historian, musicologist, philosopher, poet, politician, translator, university teacher, writer","history, literature"
417,http://www.wikidata.org/entity/Q98630,Johann Amadeus Wendt,1783,male,Electorate of Saxony,Europe,"art historian, composer, editor, musicologist, philosopher, university teacher","music, philosophy"
419,http://www.wikidata.org/entity/Q459275,"Sydney, Lady Morgan",1783,female,United Kingdom of Great Britain and Ireland,Europe,"art historian, novelist, poet, writer",poetry
425,http://www.wikidata.org/entity/Q1297391,Rebecca Friedländer,1783,female,Germany,Europe,"novelist, playwright, writer",literature
426,http://www.wikidata.org/entity/Q331893,Nikolaj Frederik Severin Grundtvig,1783,male,Kingdom of Denmark,Europe,"historian, pastor, philologist, philosopher, poet, politician, theologian, writer",philosophy
428,http://www.wikidata.org/entity/Q541039,Ryūtei Tanehiko,1783,male,Japan,Asia,"novelist, poet, writer",belletristic literature
431,http://www.wikidata.org/entity/Q4090728,Aleksej Boldyrev,1784,male,Russian Empire,North America,"orientalist, university teacher","Arabic studies, Iranian studies, linguistics, oriental studies, philosophy"
433,http://www.wikidata.org/entity/Q60163,Leo von Klenze,1784,male,Kingdom of Bavaria,Europe,"architect, painter, writer","architecture, art of painting, literature"
439,http://www.wikidata.org/entity/Q4679279,Adam Ignacy Zabellewicz,1784,male,Polish–Lithuanian Commonwealth,Europe,"philosopher, university teacher",philosophy
440,http://www.wikidata.org/entity/Q1673513,Isaac Samuel Reggio,1784,male,Austrian Empire,Europe,"philosopher, poet, rabbi, translator","Judaism, philosophy, translations from Hebrew"
442,http://www.wikidata.org/entity/Q1732209,Karl Ludwig Häberlin,1784,male,Germany,Europe,writer,literature
444,http://www.wikidata.org/entity/Q599916,Antonín Marek,1785,male,Austrian Empire,Europe,"Catholic priest, lexicographer, linguist, philosopher, poet, translator, writer","lexicography, linguistics, literature, translation, translation from German"
445,http://www.wikidata.org/entity/Q85942,Nachman Krochmal,1785,male,Austrian Empire,Europe,"historian, philosopher, writer","philosophy of history, theology"
446,http://www.wikidata.org/entity/Q1606167,Henriette Hanke,1785,female,Kingdom of Prussia,Europe,"author, writer",literature
447,http://www.wikidata.org/entity/Q1682689,Janez Nepomuk Primic,1785,male,Austrian Empire,Europe,"poet, teacher, translator, writer","literature, poetry, translation"
448,http://www.wikidata.org/entity/Q15452370,Johann Heinrich Pabst,1785,male,Austrian Empire,Europe,"philosopher, physician","medicine, philosophy"
451,http://www.wikidata.org/entity/Q1606056,Henri de Latouche,1785,male,France,Europe,"journalist, literary critic, playwright, poet, writer","literary criticism, literature"
453,http://www.wikidata.org/entity/Q1064,Alessandro Manzoni,1785,male,Kingdom of Italy,Europe,"novelist, playwright, poet, politician, writer","belletristic literature, drama, poetry"
456,http://www.wikidata.org/entity/Q235665,Lady Caroline Lamb,1785,female,United Kingdom,Europe,"novelist, poet, writer",poetry
457,http://www.wikidata.org/entity/Q64582,Karl Wilhelm Naundorff,1785,male,Kingdom of the Netherlands,Europe,"aristocrat, writer","horology, literature"
458,http://www.wikidata.org/entity/Q3379258,Philippe-Joseph Aubert de Gaspé,1786,male,Canada,North America,"essayist, jurist, writer","law, literature, memoir literature"
459,http://www.wikidata.org/entity/Q332595,"John Hobhouse, 1st Baron Broughton",1786,male,Kingdom of Great Britain,Europe,"poet, politician, writer","literature, politics"
461,http://www.wikidata.org/entity/Q77280,Justinus Kerner,1786,male,Kingdom of Württemberg,Europe,"physician, poet, scientist, writer","literature, medicine, poetry"
463,http://www.wikidata.org/entity/Q87509,Albert Anton von Muchar,1786,male,Austria,Europe,"classical philologist, historian, librarian, philologist, philosopher, university teacher","archival science, classical philology, history, library science, philology, philosophy"
465,http://www.wikidata.org/entity/Q1730465,Karl Benjamin Preusker,1786,male,Germany,Europe,"historian, librarian, pedagogue, writer","court, history, library science, literature, pedagogy, public library"
466,http://www.wikidata.org/entity/Q214153,Karl Friedrich von Klöden,1786,male,Kingdom of Prussia,Europe,"cartographer, geographer, geologist, historian, medievalist, naturalist, non-fiction writer, pedagogue, writer","cartography, geography, geology, history, literature, natural science, paleontology"
467,http://www.wikidata.org/entity/Q658393,Peter Dajnko,1787,male,Austrian Empire,Europe,"Catholic priest, linguist, philologist, theologian, translator, writer","Christian Church, beekeeping, linguistics, literature"
468,http://www.wikidata.org/entity/Q87161,Joseph Ennemoser,1787,male,Austria,Europe,"physician, university teacher, writer","anthropology, hypnosis, philosophy"
470,http://www.wikidata.org/entity/Q968964,Ninomiya Sontoku,1787,male,Japan,Asia,"economist, philosopher","Q11606378, philosophy"
471,http://www.wikidata.org/entity/Q455571,Mary Russell Mitford,1787,female,Kingdom of Great Britain,Europe,"editor, novelist, poet, writer",poetry
473,http://www.wikidata.org/entity/Q1597107,Heinrich Eduard Josef Lannoy,1787,male,Habsburg Netherlands,Europe,"composer, conductor, music educator, music journalist, writer","literature, music"
474,http://www.wikidata.org/entity/Q1036952,Karl Barth,1787,male,Duchy of Saxe-Meiningen,Eurasia,"draftsperson, painter, printmaker, translator, writer","graphics, literature, translation, visual arts"
477,http://www.wikidata.org/entity/Q159542,Jan Evangelista Purkyně,1787,male,Austria-Hungary,Europe,"anatomist, biologist, botanist, naturalist, neurologist, philosopher, physician, physiologist, poet, politician, translator, university teacher, writer",physiology
486,http://www.wikidata.org/entity/Q956848,Jacob Gijsbertus Samuël van Breda,1788,male,Kingdom of the Netherlands,Europe,"academic, biologist, botanist, geologist, pathologist, university teacher, zoologist","botany, chemistry, geology, medicine, mycology, pharmacology, philosophy, zoology"
487,http://www.wikidata.org/entity/Q38193,Arthur Schopenhauer,1788,male,Kingdom of Prussia,Europe,"musicologist, philosopher, translator, university teacher, writer","aesthetics, ethics, history of philosophy, metaphysics, psychology"
488,http://www.wikidata.org/entity/Q892567,Bonifác Buzek,1788,male,Austrian Empire,Europe,"Catholic priest, philosopher, teacher, writer","Christian Church, education, philosophy"
489,http://www.wikidata.org/entity/Q16857297,Charlotte Anne Eaton,1788,female,Kingdom of Great Britain,Europe,"banker, novelist, writer","memoir, novel, travel"
490,http://www.wikidata.org/entity/Q61147,Carl Reichenbach,1788,male,Kingdom of Württemberg,Europe,"botanist, chemist, engineer, entrepreneur, geologist, metallurgist, naturalist, philosopher",chemistry
492,http://www.wikidata.org/entity/Q430639,Sarah Josepha Hale,1788,female,United States,North America,"editor, essayist, missionary, novelist, poet, writer",essay
495,http://www.wikidata.org/entity/Q89955,Anton Passy,1788,male,Austria,Europe,"teacher, theologian, writer","Catholic literature, literature"
496,http://www.wikidata.org/entity/Q280479,Basil Hall,1788,male,United Kingdom of Great Britain and Ireland,Europe,"explorer, sailor, writer","literature, military service"
499,http://www.wikidata.org/entity/Q1176884,David Traugott Kopf,1788,male,Kingdom of Prussia,Europe,"pedagogue, writer","literature, pedagogy, school inspection"
500,http://www.wikidata.org/entity/Q2117649,Theodore Hook,1788,male,Kingdom of Great Britain,Europe,"composer, journalist, novelist, writer","literature, music"
501,http://www.wikidata.org/entity/Q1928422,Michael Leopold Enk von der Burg,1788,male,Austria,Europe,writer,literature
504,http://www.wikidata.org/entity/Q98521,Heinrich Döring,1789,male,Germany,Europe,"biographer, historian, mineralogist, theologian, translator, writer","biography, history of literature, literature, mineralogy, theology, translation, translation from English, translation from French, translation into German"
507,http://www.wikidata.org/entity/Q215699,Wolf Heinrich Graf von Baudissin,1789,male,Kingdom of Saxony,Europe,"diplomat, linguist, translator, writer","literature, translating activity"
508,http://www.wikidata.org/entity/Q61987,Carl Gustav Carus,1789,male,Kingdom of Saxony,Europe,"anatomist, botanist, draftsperson, gynecologist, painter, philosopher, physician, psychologist, university teacher",botany
509,http://www.wikidata.org/entity/Q459501,"Marguerite Gardiner, Countess of Blessington",1789,female,United Kingdom of Great Britain and Ireland,Europe,"aristocrat, editor, novelist, poet, writer",poetry
511,http://www.wikidata.org/entity/Q5648753,Hanna Winsnes,1789,female,Norway,Europe,"poet, prose writer, translator, writer","cookbook, literature, poetry"
519,http://www.wikidata.org/entity/Q86461,Friedrich Wilhelm Carové,1789,male,Kingdom of Prussia,Europe,"jurist, lawyer, philosopher, politician, writer","literature, politics"
522,http://www.wikidata.org/entity/Q60837,John Austin,1790,male,United Kingdom of Great Britain and Ireland,Europe,"jurist, lawyer, philosopher",philosophy
524,http://www.wikidata.org/entity/Q951398,Tommaso Grossi,1790,male,Austrian Empire,Europe,"notary, poet, writer","literature, poetry"
526,http://www.wikidata.org/entity/Q57826950,Alida de Savignac,1790,female,France,Europe,"art critic, literary critic, novelist, writer",young adult literature
527,http://www.wikidata.org/entity/Q2844716,Amédée de Beauplan,1790,male,France,Europe,"composer, painter, playwright, writer","art of painting, literature, music"
535,http://www.wikidata.org/entity/Q2526459,Vincenc Zahradník,1790,male,Austrian Empire,Europe,"Catholic priest, Christian minister, translator, writer","Catholicism, philosophy, religious literature, translation"
536,http://www.wikidata.org/entity/Q596448,Anton von Spaun,1790,male,Austrian Empire,Europe,"folklorist, historian, jurist, politician, writer","folklorismus, literature"
